PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME
01, 5633,5213237,105,N,0,6312,-122.409116,37.793043,10/6/2012 7:15:13.000000 AM
01, 5633,5213237,105,N,0,6311,-122.421146,37.791516,10/6/2012 7:19:46.000000 AM
01, 5633,5213237,105,N,0,6295,-122.434336,37.78984,10/6/2012 7:25:31.000000 AM
01, 5633,5213237,105,N,0,3892,-122.446908,37.787328,10/6/2012 7:30:08.000000 AM
01, 5633,5213237,105,N,0,3824,-122.464939,37.785017,10/6/2012 7:36:07.000000 AM
01, 5633,5213237,105,N,0,4277,-122.493227,37.779744,10/6/2012 7:44:51.000000 AM
01, 5504,5213238,101,N,0,4015,-122.396996,37.795415,10/6/2012 6:48:10.000000 AM
01, 5504,5213238,101,N,0,6314,-122.401551,37.79403,10/6/2012 6:51:11.000000 AM
01, 5504,5213238,101,N,0,6312,-122.409116,37.793043,10/6/2012 6:56:08.000000 AM
01, 5504,5213238,101,N,0,6311,-122.421146,37.791516,10/6/2012 7:01:11.000000 AM
01, 5504,5213238,101,N,0,6295,-122.434336,37.78984,10/6/2012 7:06:50.000000 AM
01, 5504,5213238,101,N,0,3892,-122.446908,37.787328,10/6/2012 7:11:15.000000 AM
01, 5504,5213238,101,N,0,3824,-122.464939,37.785017,10/6/2012 7:17:31.000000 AM
01, 5504,5213238,101,N,0,4277,-122.493227,37.779744,10/6/2012 7:27:05.000000 AM
01, 5600,5213239,104,N,0,4015,-122.396996,37.795415,10/6/2012 6:26:21.000000 AM
01, 5600,5213239,104,N,0,6314,-122.401551,37.79403,10/6/2012 6:28:45.000000 AM
01, 5600,5213239,104,N,0,6312,-122.409116,37.793043,10/6/2012 6:32:54.000000 AM
01, 5600,5213239,104,N,0,6311,-122.421146,37.791516,10/6/2012 6:36:57.000000 AM
01, 5600,5213239,104,N,0,6295,-122.434336,37.78984,10/6/2012 6:43:38.000000 AM
01, 5600,5213239,104,N,0,3892,-122.446908,37.787328,10/6/2012 6:49:24.000000 AM
01, 5600,5213239,104,N,0,3824,-122.464939,37.785017,10/6/2012 6:57:00.000000 AM
01, 5600,5213239,104,N,0,4277,-122.493227,37.779744,10/6/2012 7:06:44.000000 AM
