PUBLIC_ROUTE_NAME,TRIP_ID,BLOCK_NAME,LONGITUDE,LATITUDE,SCHEDULED_ARRIVAL_TIME
48,5239045,4805,-122.393052,37.757585,10/7/2012 7:51:00.748000 AM
48,5239045,4805,-122.388455,37.760411,10/7/2012 7:54:00.755000 AM
19,5224098,1909,-122.401672,37.754332,10/7/2012 12:16:01.350000 AM
19,5224098,1909,-122.396381,37.749868,10/7/2012 12:20:01.356000 AM
19,5224098,1909,-122.419969,37.786566,10/7/2012 11:57:00.361000 PM
19,5224098,1909,-122.405901,37.771554,10/7/2012 12:09:01.367000 AM
19,5224098,1909,-122.382813,37.739717,10/7/2012 12:25:01.373000 AM
19,5224098,1909,-122.423195,37.806375,10/7/2012 11:45:00.379000 PM
19,5224098,1909,-122.413027,37.77724,10/7/2012 12:05:01.384000 AM
19,5224098,1909,-122.365447,37.72792,10/7/2012 12:31:01.389000 AM
19,5224098,1909,-122.421057,37.791929,10/7/2012 11:53:00.392000 PM
22,5316640,2203,-122.430537,37.772199,10/7/2012 8:29:00.056000 AM
22,5316640,2203,-122.436469,37.800891,10/7/2012 8:09:00.064000 AM
22,5316640,2203,-122.388673,37.76059,10/7/2012 8:51:00.070000 AM
22,5316640,2203,-122.429065,37.767821,10/7/2012 8:32:00.077000 AM
22,5316640,2203,-122.437137,37.796627,10/7/2012 8:13:00.085000 AM
22,5316640,2203,-122.436517,37.8024,10/7/2012 8:05:00.091000 AM
22,5316640,2203,-122.419835,37.764983,10/7/2012 8:38:00.098000 AM
22,5316640,2203,-122.407646,37.765701,10/7/2012 8:43:00.105000 AM
22,5316640,2203,-122.431762,37.778343,10/7/2012 8:25:00.110000 AM
22,5316640,2203,-122.403617,37.76482,10/7/2012 8:45:00.116000 AM
22,5316640,2203,-122.410328,37.765568,10/7/2012 8:42:00.121000 AM
22,5316640,2203,-122.433268,37.785814,10/7/2012 8:20:00.128000 AM
22,5316847,2293,-122.407669,37.765862,10/7/2012 10:35:00.793000 PM
29,5229679,2910,-122.47761,37.765526,10/7/2012 11:14:00.334000 AM
29,5229679,2910,-122.44723,37.720863,10/7/2012 11:50:00.339000 AM
29,5229679,2910,-122.394842,37.722895,10/7/2012 12:08:00.346000 PM
29,5229680,2902,-122.394842,37.722895,10/7/2012 12:23:00.097000 PM
29,5229680,2902,-122.401154,37.721443,10/7/2012 12:19:00.103000 PM
29,5229680,2902,-122.475302,37.72111,10/7/2012 11:52:00.109000 AM
29,5229680,2902,-122.44723,37.720863,10/7/2012 12:05:00.113000 PM
29,5229680,2902,-122.47761,37.765526,10/7/2012 11:29:00.116000 AM
45,5231591,4502,-122.43714,37.79687,10/7/2012 9:57:00.762000 AM
45,5231591,4502,-122.403439,37.787632,10/7/2012 9:33:00.766000 AM
45,5231591,4502,-122.394631,37.777278,10/7/2012 9:25:00.770000 AM
45,5231591,4502,-122.424241,37.798585,10/7/2012 9:52:00.772000 AM
30,5231675,3017,-122.40714,37.789953,10/7/2012 11:30:00.631000 AM
30,5231675,3017,-122.394631,37.777278,10/7/2012 11:47:00.637000 AM
30,5231675,3017,-122.425111,37.805037,10/7/2012 11:12:00.643000 AM
30,5231675,3017,-122.410436,37.800384,10/7/2012 11:19:00.649000 AM
49,5312550,4914,-122.453896,37.723611,10/7/2012 4:45:00.149000 PM
49,5312550,4914,-122.42006,37.7799,10/7/2012 5:27:00.156000 PM
49,5312550,4914,-122.421819,37.742435,10/7/2012 5:04:00.162000 PM
49,5312550,4914,-122.41841,37.75273,10/7/2012 5:10:00.167000 PM
49,5312550,4914,-122.419194,37.775305,10/7/2012 5:24:00.174000 PM
49,5312550,4914,-122.4313,37.72862,10/7/2012 4:56:00.180000 PM
49,5312550,4914,-122.425363,37.80468,10/7/2012 5:46:00.186000 PM
49,5312550,4914,-122.42133,37.78611,10/7/2012 5:32:00.191000 PM
49,5312550,4914,-122.423863,37.798469,10/7/2012 5:40:00.197000 PM
49,5312550,4914,-122.41964,37.76554,10/7/2012 5:18:00.204000 PM
49,5312550,4914,-122.435387,37.723914,10/7/2012 4:52:00.210000 PM
56,5240996,5601,-122.41374,37.71612,10/7/2012 7:17:00.878000 PM
56,5240996,5601,-122.402179,37.712226,10/7/2012 7:20:00.884000 PM
48,5239078,4801,-122.393052,37.757585,10/7/2012 6:53:00.050000 PM
48,5239078,4801,-122.402668,37.754448,10/7/2012 6:45:00.056000 PM
48,5239078,4801,-122.433939,37.751262,10/7/2012 6:31:00.061000 PM
48,5239078,4801,-122.44251,37.74852,10/7/2012 6:26:00.065000 PM
48,5239078,4801,-122.388455,37.760411,10/7/2012 6:56:00.071000 PM
19,5224110,1903,-122.401821,37.772034,10/7/2012 8:44:00.068000 AM
19,5224110,1903,-122.39622,37.750002,10/7/2012 8:31:00.075000 AM
29,5229680,2902,-122.495319,37.753538,10/7/2012 11:37:00.121000 AM
